iter	Passed	Remaining
157	298	1590
158	299	1584
159	300	1578
160	301	1570
161	302	1563
162	303	1557
163	304	1551
164	306	1551
165	309	1555
166	310	1550
167	312	1546
168	313	1542
169	314	1537
170	316	1534
171	317	1529
172	319	1525
173	320	1522
174	321	1516
175	324	1519
176	326	1516
177	327	1511
178	328	1506
179	329	1501
180	330	1496
181	331	1491
182	333	1486
183	334	1482
184	335	1477
185	336	1473
186	338	1472
187	340	1472
188	342	1467
189	343	1463
190	344	1458
191	345	1454
192	346	1449
193	348	1447
194	349	1444
195	354	1452
196	355	1450
197	357	1447
198	359	1445
199	360	1441
200	361	1437
201	362	1433
202	363	1428
203	365	1426
204	368	1429
205	370	1426
206	371	1421
207	373	1420
208	374	1416
209	375	1412
210	376	1408
211	378	1405
212	379	1401
213	380	1397
214	383	1398
215	385	1397
216	386	1393
217	387	1388
218	388	1384
219	389	1381
220	390	1377
221	392	1373
222	393	1369
223	394	1366
224	395	1362
225	398	1364
226	400	1362
227	401	1358
228	402	1354
229	403	1350
230	404	1346
231	405	1342
232	406	1339
233	407	1335
234	409	1331
235	410	1327
236	412	1328
237	413	1324
238	414	1321
239	416	1317
240	417	1313
241	418	1310
242	419	1305
243	420	1302
244	421	1298
245	422	1294
246	423	1290
247	424	1286
248	425	1283
249	427	1283
250	429	1281
251	430	1278
252	431	1274
253	432	1270
254	433	1267
255	434	1263
256	435	1260
257	436	1256
258	437	1252
259	438	1249
260	440	1245
261	441	1245
262	443	1241
263	444	1238
264	445	1234
265	446	1231
266	447	1227
267	448	1224
268	449	1220
269	450	1217
270	451	1214
271	452	1212
272	454	1209
273	456	1209
274	457	1206
275	458	1203
276	459	1200
277	460	1197
278	462	1194
279	463	1191
280	464	1188
281	465	1185
282	466	1182
283	467	1179
284	468	1175
285	469	1172
286	472	1173
287	473	1170
288	474	1168
289	476	1165
290	477	1162
291	478	1159
292	479	1157
293	480	1154
294	481	1151
295	483	1148
296	484	1145
297	486	1144
298	488	1145
299	489	1142
300	490	1139
301	491	1136
302	492	1133
303	494	1131
304	495	1128
305	496	1125
306	497	1122
307	498	1119
308	499	1116
309	501	1116
310	502	1113
311	503	1110
312	504	1107
313	505	1105
314	507	1102
315	508	1100
316	510	1099
317	511	1097
318	512	1094
319	514	1092
320	516	1092
321	517	1089
322	518	1087
323	519	1084
324	520	1081
325	522	1079
326	523	1077
327	524	1074
328	525	1072
329	526	1069
330	527	1066
331	529	1064
332	531	1064
333	532	1061
334	533	1059
335	536	1059
336	537	1057
337	538	1055
338	540	1053
339	541	1050
340	542	1048
341	543	1045
342	546	1046
343	548	1045
344	549	1043
345	552	1043
346	553	1040
347	554	1038
348	555	1035
349	556	1032
350	557	1030
351	558	1027
352	559	1024
353	561	1024
354	562	1021
355	563	1019
356	564	1016
357	565	1014
358	566	1011
359	567	1009
360	568	1006
361	569	1004
362	570	1001
363	571	999
364	572	996
365	574	995
366	576	994
367	577	992
368	578	989
369	579	987
370	580	984
371	581	982
372	582	979
373	584	977
374	585	975
375	586	972
376	587	970
377	588	968
378	590	967
379	591	965
380	592	962
381	593	960
382	594	958
383	596	956
384	597	954
385	598	952
386	599	949
387	600	947
388	601	944
389	602	942
390	605	942
391	606	940
392	607	938
393	608	935
394	609	933
395	610	931
396	611	928
397	612	926
398	613	924
399	614	922
400	615	919
401	616	917
402	617	915
403	619	914
404	621	913
405	622	911
406	624	909
407	625	908
408	627	906
409	628	904
410	629	902
411	631	900
412	632	898
413	634	898
414	636	896
415	637	895
416	638	893
417	640	891
418	641	889
419	642	887
420	644	885
421	645	884
422	646	882
423	648	881
424	652	882
425	653	880
426	654	878
427	655	876
428	656	874
429	658	872
430	659	870
431	660	868
432	661	866
433	663	865
434	665	863
435	666	861
436	667	860
437	668	857
438	669	855
439	670	853
440	671	851
441	673	849
442	674	847
443	675	845
444	676	843
445	677	841
446	679	840
447	680	838
448	681	836
449	683	834
450	684	833
451	685	831
452	687	829
453	688	827
454	689	825
455	690	823
456	691	821
457	693	821
458	695	819
459	696	817
460	697	815
461	698	813
462	699	811
463	700	809
464	702	807
465	703	806
466	705	804
467	706	803
468	709	803
469	711	802
